station_name,city,latitude,longitude,annual_aqi,aqi_m01,aqi_m02,aqi_m03,aqi_m04,aqi_m05,aqi_m06,aqi_m07,aqi_m08,aqi_m09,aqi_m10,aqi_m11,aqi_m12
Alipur,New Delhi,28.7989,77.153,209.28,313.2,297.84,233.44,217.96,148.24,152.53,110.7,90.14,52.89,176.34,388.0,330.1
Anand Vihar,New Delhi,28.6469,77.3152,245.68,348.23,330.54,237.92,201.23,149.0,181.27,153.57,191.56,111.83,250.13,407.83,385.0
Ashok Vihar,New Delhi,28.6928,77.1833,217.58,343.82,317.2,222.36,195.04,159.15,140.34,114.15,109.0,73.0,169.9,394.62,372.42
Aya Nagar,New Delhi,28.4725,77.1097,178.68,271.37,218.89,,,,108.58,102.56,109.19,60.74,141.33,334.04,261.45
Bawana,New Delhi,28.7784,77.0405,234.88,344.11,340.27,295.04,255.54,166.38,159.45,114.6,107.38,79.97,195.63,399.2,360.97
Chandni Chowk,New Delhi,28.6562,77.23,242.98,351.92,342.5,277.0,218.74,182.95,200.19,143.55,155.92,124.1,204.87,382.21,331.83
CRRI Mathura Road,New Delhi,28.5514,77.2739,219.93,324.17,300.32,,,,128.07,109.36,116.55,104.79,186.5,382.69,326.9
Dr Karni Singh,New Delhi,28.4985,77.3023,204.26,338.23,277.16,199.39,185.17,174.54,160.97,88.86,89.15,61.43,163.41,376.35,336.45
DTU,New Delhi,28.75,77.1189,212.47,340.04,328.61,239.45,204.86,135.23,141.3,113.13,105.43,68.14,156.71,367.59,349.16
Dwarka Sector 8,New Delhi,28.5825,77.046,225.0,344.14,319.81,263.76,243.56,136.22,140.0,119.08,122.5,76.12,194.21,385.07,355.57
IGI Airport T3,New Delhi,28.5562,77.1,193.75,282.27,248.61,,,,,57.71,93.3,88.04,148.8,346.52,284.72
IHBAS Dilshad Garden,New Delhi,28.683,77.312,191.02,284.13,256.61,181.81,160.86,106.0,162.0,102.28,97.24,84.4,199.89,352.17,304.81
ITO,New Delhi,28.6289,77.24,218.97,341.68,301.12,226.23,173.44,,174.54,175.59,129.92,75.73,145.21,377.75,287.5
Jahangirpuri,New Delhi,28.7299,77.1664,240.57,382.32,355.38,256.09,238.65,156.12,143.78,119.57,116.28,83.73,202.92,430.89,401.14
JLN Stadium,New Delhi,28.5833,77.2333,202.74,339.38,273.92,204.12,171.08,127.57,137.13,119.62,108.3,72.93,163.43,379.14,336.2
Lodhi Road IITM,New Delhi,28.5933,77.2271,163.18,255.9,219.57,145.46,139.63,90.0,158.0,90.78,93.95,64.81,121.96,304.06,274.06
Lodhi Road IMD,New Delhi,28.5928,77.2274,188.67,287.24,222.26,,,,131.92,116.5,99.76,61.74,152.93,345.69,280.0
Major Dhyan Chand,New Delhi,28.6111,77.2372,197.28,342.12,258.35,201.6,169.08,117.83,124.83,93.31,98.82,68.57,163.34,381.1,348.47
Mandir Marg,New Delhi,28.6378,77.2019,191.31,329.79,279.75,188.22,159.67,123.1,124.77,96.93,99.22,63.76,157.73,365.79,307.0
Mundka,New Delhi,28.6943,77.0528,243.77,385.95,348.17,287.65,257.86,157.92,168.85,127.23,132.93,74.36,207.67,402.57,374.03
