price_total,address,area_sqft,latitude,longitude,bhk,bathrooms,balcony,status,transaction,furnishing,property_type,price_per_sqft,city,source,nearest_station,station_city,station_lat,station_lon,annual_aqi,dist_to_station_km
5600000.0,"Noida Extension, Noida, Delhi NCR",1350.0,28.60885,77.46056,3.0,3.0,2.0,Under Construction,New Property,Semi-Furnished,Flat,4148.148148148148,Noida,original,Sanjay Nagar,Ghaziabad,28.667,77.442,219.64,6.71
8800000.0,"Sector 79, Gurgaon, Delhi NCR",1490.0,28.37423557,76.95241631,3.0,3.0,2.0,Ready to Move,New Property,Semi-Furnished,Flat,5906.040268456376,Gurgaon,original,Vikas Sadan,Gurgaon,28.45,77.026,177.78,11.08
16500000.0,"Vaishali, Ghaziabad, Delhi NCR",2385.0,28.645769,77.38511,4.0,5.0,2.0,Ready to Move,New Property,Unfurnished,Flat,6918.238993710692,Ghaziabad,original,Sector 62 Noida,Noida,28.627,77.373,224.41,2.4
3810000.0,"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",1050.0,28.566914,77.436434,2.0,2.0,3.0,Ready to Move,New Property,Unfurnished,Flat,3628.571428571429,Greater Noida,original,Sector 62 Noida,Noida,28.627,77.373,224.41,9.11
6200000.0,"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",1350.0,28.520732,77.356491,2.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,4592.592592592592,Noida,original,Sector 125 Noida,Noida,28.5448,77.329,202.65,3.79
3700000.0,"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",1150.0,28.62804,77.437809,2.0,2.0,3.0,Ready to Move,New Property,Semi-Furnished,Flat,3217.391304347826,Ghaziabad,original,Sanjay Nagar,Ghaziabad,28.667,77.442,219.64,4.35
3270000.0000000005,"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",890.0,28.610645,77.455837,2.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,3674.157303370787,Noida,original,Sanjay Nagar,Ghaziabad,28.667,77.442,219.64,6.41
3990000.0,"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",850.0,28.471233,76.969597,2.0,2.0,1.0,Ready to Move,Resale,Semi-Furnished,Flat,4694.117647058823,Gurgaon,original,Vikas Sadan,Gurgaon,28.45,77.026,177.78,6.0
3500000.0,"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",960.0,28.5814311,77.4528192,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,3645.8333333333335,Greater Noida,original,Sector 62 Noida,Noida,28.627,77.373,224.41,9.29
5500000.0,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1400.0,28.614181,77.427713,3.0,3.0,4.0,Ready to Move,Resale,Semi-Furnished,Flat,3928.571428571429,Noida,original,Sector 62 Noida,Noida,28.627,77.373,224.41,5.53
7300000.0,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",850.0,28.72407531738281,77.0955810546875,3.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Flat,8588.235294117647,New Delhi,original,Rohini,New Delhi,28.7041,77.1172,220.66,3.06
7700000.0,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250.0,28.436305,77.13605,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,6160.0,Gurgaon,original,Gwal Pahari,Gurgaon,28.42,77.15,219.39,2.27
10500000.0,"Sector 110A, Gurgaon, Chandan Vihar, Gurgaon, Delhi NCR",1615.0,28.513139724731445,77.02595520019531,3.0,3.0,3.0,Ready to Move,Resale,Unfurnished,Flat,6501.547987616099,Gurgaon,original,Vikas Sadan,Gurgaon,28.45,77.026,177.78,7.02
7200000.0,"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137, Noida, Delhi NCR",1200.0,28.5074613813646,77.4078166697626,2.0,2.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,6000.0,Noida,original,Sector 125 Noida,Noida,28.5448,77.329,202.65,8.75
7000000.0,"G T Road, Ghaziabad, Delhi NCR",1690.0,28.679009,77.3492951427093,3.0,3.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,4142.011834319526,Ghaziabad,original,Vasundhara,Ghaziabad,28.659,77.365,225.23,2.7
9500000.0,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1000.0,28.721435546875,77.10701751708984,3.0,2.0,1.0,Ready to Move,New Property,Semi-Furnished,Individual House,9500.0,New Delhi,original,Rohini,New Delhi,28.7041,77.1172,220.66,2.17
15000000.0,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1450.0,28.72721290588379,77.09606170654297,4.0,3.0,1.0,Ready to Move,New Property,Semi-Furnished,Individual House,10344.827586206897,New Delhi,original,Rohini,New Delhi,28.7041,77.1172,220.66,3.29
4800000.0,"Noida Extension, Noida, Delhi NCR",1175.0,28.616078045953845,77.42810224734058,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,4085.106382978724,Noida,original,Sector 62 Noida,Noida,28.627,77.373,224.41,5.51
5100000.0,"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali, Ghaziabad, Delhi NCR",1087.0,28.6443099975586,77.331787109375,2.0,2.0,2.0,Ready to Move,Resale,Semi-Furnished,Flat,4691.8123275069,Ghaziabad,original,Anand Vihar,New Delhi,28.6469,77.3152,247.76,1.64
14000000.0,"Sector 45, Noida, Sector 45, Noida, Delhi NCR",1845.0,28.5469297107013,77.3543872945106,3.0,3.0,3.0,Ready to Move,Resale,Semi-Furnished,Flat,7588.075880758807,Noida,original,Sector 125 Noida,Noida,28.5448,77.329,202.65,2.49
6250000.0,"Sector 37C, Gurgaon, Delhi NCR",1400.0,28.449384,76.98441,2.0,2.0,2.0,Ready to Move,New Property,Semi-Furnished,Flat,4464.285714285715,Gurgaon,original,Vikas Sadan,Gurgaon,28.45,77.026,177.78,4.07
8700000.0,"Sushant Lok 2, Gurgaon, Delhi NCR",1600.0,28.423049,77.08741,3.0,2.0,1.0,Ready to Move,Resale,Unfurnished,Flat,5437.5,Gurgaon,original,Aya Nagar,New Delhi,28.4725,77.1097,186.49,5.91
13000000.0,"Sector 29, Noida, Delhi NCR",1950.0,28.5697371550333,77.3324116681809,3.0,3.0,2.0,Ready to Move,Resale,Semi-Furnished,Individual House,6666.666666666667,Noida,original,Sector 125 Noida,Noida,28.5448,77.329,202.65,2.79
