price_total,address,area_sqft,latitude,longitude,bhk,bathrooms,balcony,status,transaction,furnishing,property_type,price_per_sqft,city,source
5600000,"Noida Extension, Noida, Delhi NCR",1350,28.60885,77.46056,3,3,2,Under Construction,New Property,Semi-Furnished,Flat,4148.148148,Noida,original
8800000,"Sector 79, Gurgaon, Delhi NCR",1490,28.37423557,76.95241631,3,3,2,Ready to Move,New Property,Semi-Furnished,Flat,5906.040268,Gurgaon,original
16500000,"Vaishali, Ghaziabad, Delhi NCR",2385,28.645769,77.38511,4,5,2,Ready to Move,New Property,Unfurnished,Flat,6918.238994,Ghaziabad,original
3810000,"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",1050,28.566914,77.436434,2,2,3,Ready to Move,New Property,Unfurnished,Flat,3628.571429,Greater Noida,original
6200000,"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",1350,28.520732,77.356491,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,4592.592593,Noida,original
3700000,"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",1150,28.62804,77.437809,2,2,3,Ready to Move,New Property,Semi-Furnished,Flat,3217.391304,Ghaziabad,original
3270000,"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",890,28.610645,77.455837,2,2,3,Ready to Move,Resale,Semi-Furnished,Flat,3674.157303,Noida,original
3990000,"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",850,28.471233,76.969597,2,2,1,Ready to Move,Resale,Semi-Furnished,Flat,4694.117647,Gurgaon,original
3500000,"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",960,28.5814311,77.4528192,2,2,2,Ready to Move,Resale,Semi-Furnished,Flat,3645.833333,Greater Noida,original
5500000,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1400,28.614181,77.427713,3,3,4,Ready to Move,Resale,Semi-Furnished,Flat,3928.571429,Noida,original
